Project,Package,Class,Method,Smell,Description,Method start line no,File
java,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List,The method has 7 parameters. ,143,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/MailUtil.java
java,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List,The method has 7 parameters. ,166,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/MailUtil.java
java,org.apache.roller.planet.util,MailUtil,sendTextMessage,Long Parameter List,The method has 7 parameters. ,195,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/MailUtil.java
java,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List,The method has 7 parameters. ,235,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/MailUtil.java
java,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List,The method has 7 parameters. ,258,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/MailUtil.java
java,org.apache.roller.planet.util,MailUtil,sendHTMLMessage,Long Parameter List,The method has 7 parameters. ,296,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/planet/util/MailUtil.java
java,org.apache.roller.weblogger.config,AuthMethod,getAuthMethod,Long Statement,The length of the statement "throw new IllegalArgumentException("Unknown authentication.method property value: " + propertyName + " defined in Roller properties file.");" is 140.,37,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/AuthMethod.java
java,org.apache.roller.weblogger.config,PingConfig,getQueueProcessingIntervalMins,Long Identifier,The length of the field QUEUE_PROCESSING_INTERVAL_PROP is 30.,117,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,getQueueProcessingIntervalMins,Long Identifier,The length of the field QUEUE_PROCESSING_INTERVAL_DEFAULT is 33.,117,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,getQueueProcessingIntervalMins,Long Statement,The length of the statement "return getIntegerProperty(QUEUE_PROCESSING_INTERVAL_PROP`QUEUE_PROCESSING_INTERVAL_DEFAULT`QUEUE_PROCESSING_INTERVAL_MIN`QUEUE_PROCESSING_INTERVAL_MAX);" is 152.,117,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,getDisablePingUsage,Long Identifier,The length of the field PINGS_DISABLE_PING_USAGE_DEFAULT is 32.,138,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,getSuspendPingProcessing,Long Identifier,The length of the field PINGS_SUSPEND_PING_PROCESSING_PROP is 34.,149,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializeCommonTargets,Complex Method,Cyclomatic complexity of the method is 8,160,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializeCommonTargets,Long Identifier,The length of the field PINGS_INITIAL_COMMON_TARGETS_PROP is 33.,160,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializeCommonTargets,Long Statement,The length of the statement "LOGGER.debug("No (or empty) value of " + PINGS_INITIAL_COMMON_TARGETS_PROP + " present in the configuration. Skipping initialization of commmon targets.");" is 155.,160,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializeCommonTargets,Long Statement,The length of the statement "LOGGER.error("Unable to parse configured initial ping target '" + thisTarget + "'. Skipping this target. Check your setting of the property "+ PINGS_INITIAL_COMMON_TARGETS_PROP);" is 178.,160,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializeCommonTargets,Magic Number,The method contains a magic number: 2,160,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializeCommonTargets,Magic Number,The method contains a magic number: 2,160,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializePingVariants,Complex Method,Cyclomatic complexity of the method is 9,208,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializePingVariants,Long Statement,The length of the statement "LOGGER.debug("No (or empty) value of " + PINGS_VARIANT_OPTIONS_PROP + " present in the configuration. Skipping initialization of ping variants.");" is 146.,208,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializePingVariants,Long Statement,The length of the statement "LOGGER.error("Unable to parse configured ping variant '" + thisVariant + "'. Skipping this variant. Check your setting of the property "+ PINGS_VARIANT_OPTIONS_PROP);" is 166.,208,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializePingVariants,Magic Number,The method contains a magic number: 2,208,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,initializePingVariants,Magic Number,The method contains a magic number: 2,208,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,getIntegerProperty,Long Statement,The length of the statement "LOGGER.debug("PingConfig property '" + propName + "' is not present in the configuration. Using default value: "+ defaultValue);" is 128.,269,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,getIntegerProperty,Long Statement,The length of the statement "LOGGER.error("ERROR: PingConfig property '" + propName + "' is not an integer value. Using default value: "+ defaultValue);" is 123.,269,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,getIntegerProperty,Long Statement,The length of the statement "LOGGER.error("ERROR: PingConfig property '" + propName + "' is outside the required range ("+ min+ "` "+ max+ "). Using default value: "+ defaultValue);" is 152.,269,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config,PingConfig,getBooleanProperty,Long Statement,The length of the statement "LOGGER.debug("PingConfig property '" + propName + "' is not present in the configuration. Using default value: "+ defaultValue);" is 128.,308,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/PingConfig.java
java,org.apache.roller.weblogger.config.runtime,PropertyDef,setRows,Empty catch clause,The method has an empty catch block.,101,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/runtime/PropertyDef.java
java,org.apache.roller.weblogger.config.runtime,PropertyDef,setCols,Empty catch clause,The method has an empty catch block.,118,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/config/runtime/PropertyDef.java
java,org.apache.roller.weblogger.webservices.xmlrpc,MetaWeblogAPIHandler,editPost,Long Parameter List,The method has 5 parameters. ,104,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/MetaWeblogAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,MetaWeblogAPIHandler,editPost,Complex Method,Cyclomatic complexity of the method is 9,122,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/MetaWeblogAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,MetaWeblogAPIHandler,editPost,Long Parameter List,The method has 5 parameters. ,122,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/MetaWeblogAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,MetaWeblogAPIHandler,newPost,Long Parameter List,The method has 5 parameters. ,204,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/MetaWeblogAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,MetaWeblogAPIHandler,newPost,Complex Method,Cyclomatic complexity of the method is 11,222,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/MetaWeblogAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,MetaWeblogAPIHandler,newPost,Long Parameter List,The method has 5 parameters. ,222,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/MetaWeblogAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,MetaWeblogAPIHandler,newPost,Magic Number,The method contains a magic number: 15,222,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/MetaWeblogAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,MetaWeblogAPIHandler,newPost,Magic Number,The method contains a magic number: 15,222,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/MetaWeblogAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,MetaWeblogAPIHandler,createCategoryStruct,Long Statement,The length of the statement "String rssUrl=strategy.getWeblogFeedURL(category.getWeblog()`null`"entries"`"rss"`category.getName()`null`null`false`true);" is 123.,491,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/MetaWeblogAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BaseAPIHandler,validate,Complex Method,Cyclomatic complexity of the method is 8,104,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BaseAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BloggerAPIHandler,deletePost,Long Parameter List,The method has 5 parameters. ,68,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BloggerAPIHandler,setTemplate,Long Parameter List,The method has 6 parameters. ,117,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BloggerAPIHandler,getTemplate,Long Parameter List,The method has 5 parameters. ,168,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BloggerAPIHandler,getUsersBlogs,Magic Number,The method contains a magic number: 3,266,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BloggerAPIHandler,editPost,Long Parameter List,The method has 6 parameters. ,310,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BloggerAPIHandler,newPost,Long Parameter List,The method has 6 parameters. ,366,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BloggerAPIHandler,newPost,Magic Number,The method contains a magic number: 7,366,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BloggerAPIHandler,newPost,Magic Number,The method contains a magic number: 15,366,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BloggerAPIHandler,newPost,Magic Number,The method contains a magic number: 15,366,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java
java,org.apache.roller.weblogger.webservices.xmlrpc,BloggerAPIHandler,getRecentPosts,Long Parameter List,The method has 5 parameters. ,443,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/xmlrpc/BloggerAPIHandler.java
java,org.apache.roller.weblogger.webservices.tagdata,TagDataServlet,doGet,Complex Conditional,The conditional expression pathInfo.length == 2 && "weblog".equals(pathInfo[0]) && StringUtils.isAlphanumeric(pathInfo[1]) is complex.,70,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/tagdata/TagDataServlet.java
java,org.apache.roller.weblogger.webservices.tagdata,TagDataServlet,doGet,Complex Method,Cyclomatic complexity of the method is 18,70,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/tagdata/TagDataServlet.java
java,org.apache.roller.weblogger.webservices.tagdata,TagDataServlet,doGet,Long Method,The method has 116 lines of code.,70,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/tagdata/TagDataServlet.java
java,org.apache.roller.weblogger.webservices.tagdata,TagDataServlet,doGet,Magic Number,The method contains a magic number: 2,70,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/tagdata/TagDataServlet.java
java,org.apache.roller.weblogger.webservices.atomprotocol,EntryCollection,getEntry,Magic Number,The method contains a magic number: 2,137,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,EntryCollection,getCollection,Complex Method,Cyclomatic complexity of the method is 10,155,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,EntryCollection,getCollection,Magic Number,The method contains a magic number: 2,155,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,EntryCollection,getCollection,Magic Number,The method contains a magic number: 2,155,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,EntryCollection,getCollection,Magic Number,The method contains a magic number: 2,155,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,EntryCollection,putEntry,Magic Number,The method contains a magic number: 3,244,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,EntryCollection,putEntry,Magic Number,The method contains a magic number: 2,244,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,EntryCollection,deleteEntry,Magic Number,The method contains a magic number: 2,284,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,EntryCollection,copyToRollerEntry,Complex Method,Cyclomatic complexity of the method is 15,387,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,EntryCollection,copyToRollerEntry,Long Statement,The length of the statement "if (cat.getScheme() != null && cat.getScheme().equals(RollerAtomService.getWeblogCategoryScheme(rollerEntry.getWebsite()))) {" is 125.,387,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/EntryCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,MediaCollection,postMedia,Complex Method,Cyclomatic complexity of the method is 9,86,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,MediaCollection,getCollection,Complex Method,Cyclomatic complexity of the method is 14,241,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,MediaCollection,getCollection,Empty catch clause,The method has an empty catch block.,241,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,MediaCollection,getCollection,Long Method,The method has 110 lines of code.,241,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,MediaCollection,getCollection,Magic Number,The method contains a magic number: 2,241,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,MediaCollection,filePathFromPathInfo,Magic Number,The method contains a magic number: 2,466,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,MediaCollection,filePathFromPathInfo,Magic Number,The method contains a magic number: 2,466,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,MediaCollection,filePathFromPathInfo,Magic Number,The method contains a magic number: 2,466,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,MediaCollection,createFileName,Magic Number,The method contains a magic number: 5,536,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/MediaCollection.java
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomHandler,getEntry,Magic Number,The method contains a magic number: 2,231,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandler.java
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomHandler,deleteEntry,Magic Number,The method contains a magic number: 2,286,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandler.java
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomHandler,isEntryURI,Complex Conditional,The conditional expression pathInfo.length > 2 && pathInfo[1].equals("resource") && pathInfo[pathInfo.length - 1].endsWith(".media-link") is complex.,320,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandler.java
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomHandler,isEntryURI,Magic Number,The method contains a magic number: 2,320,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandler.java
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomHandler,isEntryURI,Magic Number,The method contains a magic number: 2,320,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandler.java
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomHandler,authenticateWSSE,Complex Method,Cyclomatic complexity of the method is 9,413,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandler.java
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomHandler,authenticateWSSE,Long Statement,The length of the statement "digest=WSSEUtilities.generateDigest(WSSEUtilities.base64Decode(nonce)`created.getBytes(StandardCharsets.UTF_8)`inUser.getPassword().getBytes(StandardCharsets.UTF_8));" is 166.,413,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandler.java
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomHandler,oneSecondThrottle,Empty catch clause,The method has an empty catch block.,520,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomHandler.java
java,org.apache.roller.weblogger.webservices.atomprotocol,RollerAtomService,RollerAtomService,Long Statement,The length of the statement "Collection uploadSubCol=new Collection("Media Files: " + dir.getName()`"text"`atomURL + "/" + weblog.getHandle()+ "/resources/"+ dir.getName());" is 144.,52,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/atomprotocol/RollerAtomService.java
java,org.apache.roller.weblogger.webservices.oauth,AuthorizationServlet,returnToConsumer,Complex Conditional,The conditional expression "none".equals(callback) && accessor.consumer.callbackURL != null && accessor.consumer.callbackURL.length() > 0 is complex.,122,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/webservices/oauth/AuthorizationServlet.java
